Date,Open,High,Low,Close,Quantity
2000-03-01,40.5,43.39,40.0,43.39,4944730
2000-03-02,45.69,46.86,44.2,46.86,5423770
2000-03-03,48.9,48.9,43.12,47.31,8788310
2000-03-06,47.9,47.9,43.53,44.35,6709340
2000-03-07,44.7,44.7,40.81,41.22,3771120
2000-03-08,41.5,42.5,39.11,41.67,3709220
2000-03-09,41.9,41.9,38.81,39.96,1677040
2000-03-10,40.0,40.89,39.03,39.76,1815800
2000-03-13,38.61,40.6,36.7,38.16,2254620
2000-03-14,38.5,40.0,36.7,39.67,2071680
2000-03-15,40.6,40.68,38.6,40.05,1187120
2000-03-16,40.59,40.59,39.51,39.82,906780
2000-03-21,39.8,42.7,39.7,40.64,1789570
2000-03-22,41.4,42.88,37.4,41.33,1927890
2000-03-23,42.4,44.64,40.4,40.99,2118110
2000-03-24,41.0,42.0,40.26,41.68,716290
2000-03-27,41.5,44.47,41.15,41.74,2387800
2000-03-28,42.49,42.49,40.52,41.27,1300060
2000-03-29,41.86,41.86,37.97,38.03,1480430
2000-03-30,37.8,37.8,35.61,36.39,930150
2000-03-31,35.7,39.3,35.4,39.3,3707250
2000-04-03,41.9,42.45,41.9,42.45,311590
2000-04-04,44.4,45.85,44.2,45.85,8056790
2000-04-05,48.0,48.24,43.8,46.98,5147720
2000-04-06,46.0,46.5,43.68,45.93,4689240
2000-04-07,46.1,49.6,46.1,49.1,7006900
2000-04-10,49.39,50.4,46.6,47.77,13100890
2000-04-11,47.01,47.01,45.7,46.43,2154340
2000-04-12,46.0,46.4,44.1,45.33,3546030
2000-04-13,44.9,47.6,43.01,44.87,3852300
2000-04-17,44.46,44.46,41.53,43.31,5981520
2000-04-18,44.4,45.38,43.53,44.54,3100130
2000-04-19,43.2,46.3,43.1,45.94,3304680
2000-04-20,45.9,49.4,44.61,47.51,5957550
2000-04-24,47.0,47.5,44.42,44.81,2168480
2000-04-25,44.42,45.99,42.8,45.69,3389160
2000-04-26,47.0,47.4,45.22,46.07,3868770
2000-04-27,45.8,46.4,44.66,46.02,2014670
2000-04-28,46.0,47.77,46.0,47.24,3905550
2000-05-02,47.5,49.25,46.06,47.94,4624090
2000-05-03,45.18,46.8,44.6,46.09,2334260
2000-05-04,47.0,47.0,44.52,45.58,2759820
2000-05-05,45.3,45.3,43.73,44.9,2836570
2000-05-08,44.0,44.98,43.0,43.76,2544770
2000-05-09,43.31,43.49,41.55,42.5,2799930
2000-05-10,42.3,44.7,41.0,44.18,1637040
2000-05-11,43.7,46.7,43.7,44.87,3706220
2000-05-12,46.0,46.25,44.51,46.11,1330420
2000-05-15,45.7,46.6,45.1,46.04,862260
2000-05-16,46.5,47.5,45.91,47.18,1364480
2000-05-17,46.3,46.8,45.81,46.14,749480
2000-05-18,46.0,46.8,45.85,46.55,398320
2000-05-19,46.45,48.0,46.1,47.77,1717630
2000-05-22,47.2,49.49,47.2,48.62,1714070
2000-05-23,48.26,50.9,48.26,50.19,3475190
2000-05-24,50.0,50.2,48.21,48.64,1333060
2000-05-25,48.6,49.3,46.51,47.3,1771390
2000-05-26,47.9,48.75,46.7,48.33,1108590
2000-05-29,48.5,54.13,48.5,54.13,2905130
2000-05-30,56.5,58.23,52.5,54.37,4894060
2000-05-31,53.4,56.46,47.85,47.85,3765510
2000-06-01,47.4,50.9,46.5,49.64,1863960
2000-06-02,49.99,53.19,49.51,52.54,2337040
2000-06-05,53.55,56.7,52.0,54.47,3947040
2000-06-06,55.0,55.8,52.51,53.07,1157590
2000-06-07,52.0,53.25,51.01,51.32,761950
2000-06-08,52.0,52.5,50.01,51.53,443150
2000-06-09,51.94,52.5,50.25,50.94,1111890
2000-06-12,52.0,52.0,49.01,50.36,839240
2000-06-13,49.51,50.5,48.81,49.54,660430
2000-06-14,50.0,50.1,48.5,48.82,1464250
2000-06-15,48.1,48.78,48.1,48.49,759440
2000-06-16,48.4,51.0,48.4,49.99,1784830
2000-06-19,50.2,50.9,50.2,50.41,458690
2000-06-20,51.0,51.2,50.31,50.92,1210530
2000-06-21,51.3,53.19,50.8,52.51,2654500
2000-06-22,52.5,53.85,50.8,52.54,2974630
2000-06-23,51.7,54.5,51.7,53.63,1386670
2000-06-26,54.0,54.7,52.6,54.12,839260
2000-06-27,54.5,57.05,54.0,55.82,2971500
2000-06-28,58.0,58.0,53.82,55.16,2707660
2000-06-29,55.7,56.0,54.46,54.82,839190
2000-06-30,54.8,55.6,54.23,55.17,668980
2000-07-03,55.4,56.6,54.13,54.87,926690
2000-07-04,54.3,54.3,47.1,48.0,5035110
2000-07-05,45.23,50.1,45.23,48.47,1292470
2000-07-06,49.19,52.1,49.0,51.13,3488310
2000-07-07,51.3,51.4,49.6,49.99,1159800
2000-07-10,50.5,50.9,48.7,48.99,855570
2000-07-11,48.6,49.2,47.9,48.12,1092430
2000-07-12,48.9,49.9,48.2,49.06,889100
2000-07-13,50.5,51.0,48.65,48.77,273910
2000-07-14,48.9,49.2,47.51,47.86,546640
2000-07-17,48.0,48.9,47.5,48.1,751050
2000-07-18,48.1,48.8,47.23,47.56,905030
2000-07-19,47.99,47.99,46.3,47.53,630610
2000-07-20,48.0,52.12,48.0,51.17,3674710
2000-07-21,51.8,53.5,50.2,50.93,1277080
2000-07-24,50.47,51.0,49.75,50.1,2101300
2000-07-25,50.1,50.3,48.5,49.84,1155530
2000-07-26,49.8,50.5,49.3,49.98,643740
2000-07-27,49.5,50.3,49.0,50.03,440940
2000-07-28,50.0,50.45,49.66,50.01,504450
2000-07-31,49.83,51.1,49.83,50.59,941800
2000-08-01,50.7,51.0,49.73,49.93,525520
2000-08-02,49.6,50.27,48.15,49.18,409950
2000-08-03,48.82,49.15,48.43,48.92,248420
2000-08-04,48.8,50.95,48.5,50.32,713060
2000-08-07,50.27,50.49,49.86,50.28,365880
2000-08-08,50.1,50.9,49.91,50.56,565710
2000-08-09,50.6,50.8,48.3,49.36,2667990
2000-08-10,49.4,50.19,48.8,49.61,761370
2000-08-11,49.9,50.6,49.13,50.5,675470
2000-08-14,50.1,50.5,49.6,50.32,1415960
2000-08-16,50.59,52.9,49.1,52.28,2741440
2000-08-17,52.21,52.55,51.1,51.3,906740
2000-08-18,51.2,51.2,49.8,50.11,1512620
2000-08-21,50.25,50.5,48.0,49.04,2020190
2000-08-22,48.15,49.2,48.15,48.29,685010
2000-08-23,48.8,49.45,48.61,48.96,381240
2000-08-24,49.4,50.0,49.0,49.54,553130
2000-08-25,49.4,50.3,49.36,50.05,515340
2000-08-28,49.9,50.5,49.67,50.07,261730
2000-08-29,50.0,50.8,49.77,50.5,427360
2000-08-30,50.57,52.46,50.55,52.02,1572520
2000-08-31,51.8,52.69,51.3,52.41,893020
2000-09-04,52.8,53.0,52.1,52.83,610440
2000-09-05,52.82,54.8,52.35,54.46,1252970
2000-09-06,54.0,54.19,53.05,54.0,801830
2000-09-07,53.2,54.6,53.2,53.43,370910
2000-09-08,54.59,54.59,52.82,53.22,483380
2000-09-11,53.5,54.0,52.51,52.95,442980
2000-09-12,52.5,52.5,51.57,52.07,850410
2000-09-13,51.7,51.8,50.4,50.6,240830
2000-09-14,50.7,51.6,50.4,51.36,743080
2000-09-15,51.4,51.5,50.5,50.75,163940
2000-09-18,50.14,50.5,49.13,49.96,311910
2000-09-19,49.5,50.6,49.5,50.21,822150
2000-09-20,51.5,51.5,49.5,50.0,933440
2000-09-21,50.49,51.5,49.6,49.97,90340
2000-09-22,49.6,49.6,46.0,48.1,932830
2000-09-25,47.7,48.2,47.11,47.5,588140
2000-09-26,46.51,47.4,43.88,44.52,932810
2000-09-27,44.7,44.7,41.1,42.66,1974960
2000-09-28,43.0,45.52,42.5,44.11,1377580
2000-09-29,44.49,44.59,43.2,43.79,516420
2000-10-03,43.7,44.19,43.0,43.39,513370
2000-10-04,44.0,44.8,43.7,43.9,429980
2000-10-05,44.28,44.3,43.8,43.9,185870
2000-10-06,44.1,45.1,43.43,44.95,328170
2000-10-09,44.6,45.29,44.3,44.93,263580
2000-10-10,44.8,45.88,44.8,45.6,311690
2000-10-11,45.0,45.5,44.01,44.86,270830
2000-10-12,44.5,45.13,44.11,44.97,137900
2000-10-13,44.5,45.4,44.25,45.0,334420
2000-10-16,45.39,46.99,42.7,45.09,735210
2000-10-17,44.41,46.5,43.5,45.88,459170
2000-10-18,46.1,46.46,44.01,45.88,702600
2000-10-19,45.67,48.0,45.32,47.74,622590
