Date,Open,High,Low,Close,Quantity
2000-08-10,63.91,64.63,63.17,63.44,8831356
2000-08-11,63.43,63.91,63.08,63.38,10136140
2000-08-14,63.33,63.88,62.04,63.4,13778088
2000-08-16,63.89,65.6,63.57,64.95,25037345
2000-08-17,65.26,66.49,64.58,65.02,31956369
2000-08-18,64.88,65.42,64.61,64.86,9527314
2000-08-21,64.72,65.24,64.51,64.78,7523636
2000-08-22,65.16,65.88,64.81,65.12,14797564
2000-08-23,65.78,66.61,65.17,65.36,28175408
2000-08-24,65.26,65.59,64.3,64.6,17143683
2000-08-25,64.78,65.14,63.77,64.22,8598722
2000-08-28,64.2,64.49,63.83,63.95,6186062
2000-08-29,63.78,64.39,63.39,63.6,11246992
2000-08-30,64.44,65.22,63.83,64.85,15927870
2000-08-31,65.16,65.6,64.5,64.79,14238431
2000-09-04,65.24,68.67,65.11,68.13,40912732
2000-09-05,68.72,69.22,67.81,68.48,18879325
2000-09-06,68.53,70.44,67.76,69.99,50807434
2000-09-07,69.52,71.4,69.32,69.66,39216239
2000-09-08,69.69,72.19,69.5,71.4,30942717
2000-09-11,72.15,74.5,72.01,73.76,36650987
2000-09-12,74.11,75.04,73.38,73.81,22500655
2000-09-13,74.3,74.3,71.61,72.28,30745709
2000-09-14,72.39,73.28,71.74,72.32,21816675
2000-09-15,72.38,72.6,69.91,70.45,19734171
2000-09-18,69.88,69.88,66.06,66.64,27226701
2000-09-19,66.26,67.75,64.3,64.99,25279091
2000-09-20,65.69,67.52,64.99,66.89,19889574
2000-09-21,66.97,67.38,65.9,66.97,17943205
2000-09-22,66.8,66.8,64.67,65.13,21881896
2000-09-25,65.84,66.61,65.06,65.83,18008421
2000-09-26,66.22,66.22,65.07,65.7,14841906
2000-09-27,65.65,68.28,64.37,67.74,34359616
2000-09-28,68.34,68.34,66.12,66.53,25581294
2000-09-29,66.95,67.36,65.65,65.93,14095236
2000-10-03,65.46,66.51,65.11,66.06,15565148
2000-10-04,66.61,67.09,66.2,66.73,9428457
2000-10-05,66.44,66.86,65.2,65.48,8920156
2000-10-06,65.07,65.8,64.79,65.53,10830530
2000-10-09,65.64,66.7,65.27,65.54,12810312
2000-10-10,65.65,65.74,64.18,64.53,11130925
2000-10-11,64.1,64.37,63.06,63.58,10084681
2000-10-12,63.04,64.39,62.09,63.01,25625387
2000-10-13,62.61,62.61,58.73,61.27,19845029
2000-10-16,61.79,64.37,58.76,59.73,25243403
2000-10-17,58.74,60.0,57.22,58.13,30514047
2000-10-18,57.65,58.23,56.64,57.43,14084296
2000-10-19,57.13,59.37,55.25,58.36,26065003
2000-10-20,59.53,60.35,57.01,57.38,32700748
2000-10-23,57.37,57.37,54.54,55.03,18376888
2000-10-24,55.06,56.73,54.77,56.34,25932005
2000-10-25,56.6,59.5,56.46,58.72,28490000
2000-10-26,59.28,59.68,58.53,58.82,7021501
2000-10-27,59.09,59.39,57.77,58.32,18075553
2000-10-30,58.62,59.56,57.77,57.94,15184260
2000-10-31,57.76,58.47,56.65,58.16,15768665
2000-11-01,59.76,60.21,58.63,59.4,26885896
2000-11-02,59.46,61.22,59.46,60.77,27767938
2000-11-03,61.29,61.74,60.6,60.76,21741169
2000-11-06,61.01,61.58,60.06,60.19,20716805
