Date,Open,High,Low,Close,Quantity
2000-04-11,27.4,28.2,26.44,27.59,2743800
2000-04-12,28.0,28.0,26.8,27.05,2328975
2000-04-13,25.6,26.99,24.9,25.8,4388030
2000-04-17,25.42,27.2,23.8,26.36,6710270
2000-04-18,26.98,27.4,24.26,24.33,6669695
2000-04-19,24.99,25.56,23.2,24.91,5608830
2000-04-20,24.61,25.2,23.6,24.54,5103345
2000-04-24,24.8,26.0,24.5,25.14,3985595
2000-04-25,24.81,25.68,24.01,25.49,4890550
2000-04-26,25.6,27.1,24.8,26.79,9599660
2000-04-27,26.8,27.0,25.51,25.84,3388915
2000-04-28,25.93,26.11,25.15,25.54,2708860
2000-05-02,25.4,25.7,24.3,25.27,3648740
2000-05-03,25.0,25.7,24.6,25.47,1731745
2000-05-04,25.8,26.99,25.5,26.18,2704825
2000-05-05,26.6,28.84,26.11,28.24,6235335
2000-05-08,28.94,30.5,27.85,28.9,8049520
2000-05-09,28.6,29.5,27.62,28.97,3639640
2000-05-10,29.18,29.26,28.11,28.76,1578765
2000-05-11,28.6,28.6,27.32,27.61,1710950
2000-05-12,27.8,28.6,25.42,25.82,3493045
2000-05-15,25.4,26.47,25.0,26.06,1531020
2000-05-16,26.2,27.38,25.82,26.6,2186365
2000-05-17,27.0,27.6,26.5,26.79,2304030
2000-05-18,26.6,27.7,25.97,26.15,3123560
2000-05-19,25.92,26.63,25.91,26.16,1281890
2000-05-22,25.82,26.58,25.82,26.04,880895
2000-05-23,26.2,26.39,25.4,25.78,1182030
2000-05-24,25.8,26.58,25.42,25.95,2096910
2000-05-25,26.0,26.15,24.13,24.32,6020935
2000-05-26,24.59,24.6,23.1,23.75,5364935
2000-05-29,23.76,25.65,23.76,24.58,7370045
2000-05-30,24.02,24.77,23.31,24.56,4560815
2000-05-31,25.7,25.8,24.63,24.86,5007870
2000-06-01,24.8,25.0,24.2,24.47,1567960
2000-06-02,24.62,25.18,23.11,23.77,7675325
2000-06-05,24.38,24.6,23.78,23.83,5713045
2000-06-06,24.0,24.2,23.8,23.85,3793570
2000-06-07,24.08,24.94,24.0,24.32,3960685
2000-06-08,24.4,26.0,24.36,25.77,9539175
2000-06-09,25.6,27.84,25.52,26.9,13956585
2000-06-12,27.2,28.5,26.64,27.45,9024875
2000-06-13,27.2,27.95,26.83,27.61,5242130
2000-06-14,27.69,27.88,26.64,26.73,3307280
2000-06-15,26.7,26.98,26.1,26.28,1941395
2000-06-16,26.01,26.7,25.8,26.46,4143110
2000-06-19,26.5,27.5,26.32,26.89,3181730
2000-06-20,27.2,27.38,26.84,27.02,1565875
2000-06-21,27.3,27.3,26.02,26.12,1486830
2000-06-22,26.14,26.33,25.84,26.04,1482405
2000-06-23,25.82,26.8,25.63,25.83,3680560
2000-06-26,25.62,25.62,25.0,25.22,1456520
2000-06-27,25.2,26.54,25.1,25.34,5139455
2000-06-28,25.56,25.87,25.3,25.38,1967360
2000-06-29,25.42,25.99,24.81,25.27,3880715
2000-06-30,25.0,25.4,24.53,24.7,1531755
2000-07-03,24.98,25.65,24.73,25.14,2279180
2000-07-04,25.2,25.36,24.5,24.66,2858640
2000-07-05,25.74,25.78,24.7,25.26,2946070
2000-07-06,25.8,26.5,25.03,25.96,5602995
2000-07-07,26.16,26.2,25.62,25.81,2434760
2000-07-10,25.61,26.97,25.61,26.23,4271285
2000-07-11,26.21,27.34,25.94,26.58,4226155
2000-07-12,27.18,27.74,26.33,26.48,5951455
2000-07-13,26.6,27.1,26.2,26.35,3363580
2000-07-14,26.4,26.46,25.32,25.44,2798190
2000-07-17,25.25,25.5,24.7,25.34,1660005
2000-07-18,25.2,25.5,24.83,24.89,2973675
2000-07-19,25.2,25.33,24.82,24.89,1413160
2000-07-20,25.19,25.19,24.18,24.36,1483960
2000-07-21,24.62,24.75,23.34,23.44,3312375
2000-07-24,23.06,23.2,21.0,21.26,3956295
2000-07-25,20.99,22.12,20.2,21.6,4177020
2000-07-26,20.0,21.19,19.88,20.73,6863090
2000-07-27,20.6,21.4,20.42,21.24,2077345
2000-07-28,21.05,21.39,20.64,20.81,2703115
2000-07-31,20.52,20.86,18.31,18.51,8754120
2000-08-01,18.73,19.36,18.51,18.97,5447700
2000-08-02,19.02,20.0,18.95,19.67,4631700
2000-08-03,19.8,20.2,18.71,19.02,7089350
2000-08-04,18.93,19.2,18.6,18.69,3113425
2000-08-07,18.7,18.87,18.12,18.33,2925060
2000-08-08,18.4,18.7,18.31,18.45,4109085
2000-08-09,18.58,19.02,18.58,18.79,2569335
2000-08-10,18.76,18.99,18.5,18.53,1240535
2000-08-11,18.45,18.67,18.1,18.17,1608800
2000-08-14,18.24,18.24,17.16,17.42,4158885
2000-08-16,17.76,18.18,17.62,17.91,2717825
2000-08-17,17.99,18.68,17.7,18.09,4196295
2000-08-18,17.79,18.29,17.7,17.92,2575805
2000-08-21,18.08,18.46,17.85,18.19,2413970
2000-08-22,18.24,18.6,18.05,18.47,2940965
2000-08-23,19.0,19.8,18.6,19.16,7044345
2000-08-24,19.03,19.35,18.6,18.84,1964550
2000-08-25,18.9,19.57,18.65,19.12,3545935
2000-08-28,19.18,21.28,19.15,20.95,15211570
2000-08-29,21.0,21.2,19.6,20.42,6639860
2000-08-30,20.2,20.47,19.75,19.9,2654755
2000-08-31,19.7,20.45,19.5,20.02,4402395
2000-09-04,20.24,20.5,19.41,19.6,2566645
2000-09-05,19.8,20.42,19.5,20.21,4571305
2000-09-06,20.1,20.89,20.07,20.4,4528475
2000-09-07,20.4,21.09,20.3,20.46,4105540
2000-09-08,20.6,20.7,19.82,19.98,2344995
2000-09-11,20.2,20.3,19.08,19.37,3110620
2000-09-12,19.2,19.6,19.0,19.1,4332980
2000-09-13,19.25,19.4,19.04,19.09,1291905
2000-09-14,19.2,19.34,18.7,18.87,1072380
2000-09-15,18.88,18.88,18.2,18.27,1972090
2000-09-18,18.11,18.83,18.05,18.41,2063485
2000-09-19,18.12,18.45,17.68,17.91,2729210
2000-09-20,18.59,18.59,18.01,18.26,907100
2000-09-21,18.23,18.41,17.6,17.85,1097550
2000-09-22,17.74,17.8,17.03,17.19,1882845
2000-09-25,17.4,17.7,17.2,17.3,973575
2000-09-26,17.28,17.4,16.4,16.5,2863725
2000-09-27,16.69,17.0,16.38,16.77,1290195
2000-09-28,17.2,17.2,16.2,16.27,1348040
2000-09-29,16.49,16.57,16.2,16.3,1714790
2000-10-03,16.21,16.6,15.83,16.35,2590270
2000-10-04,16.6,17.19,16.44,16.86,1892530
2000-10-05,17.12,17.35,16.44,16.5,1320050
2000-10-06,16.58,16.58,15.95,16.15,1613960
2000-10-09,16.24,16.28,15.95,15.99,810140
2000-10-10,15.91,16.26,15.61,15.83,1913825
2000-10-11,15.8,15.99,15.42,15.57,1185065
2000-10-12,15.45,15.9,15.41,15.58,892860
2000-10-13,15.41,16.1,15.05,15.5,2288070
2000-10-16,15.49,15.98,15.2,15.32,1135035
2000-10-17,15.12,15.35,14.86,14.97,1639130
2000-10-18,15.12,15.16,14.85,15.07,977615
2000-10-19,15.17,15.3,14.0,14.79,2124585
2000-10-20,14.99,15.18,14.3,14.61,3338405
2000-10-23,14.42,14.42,13.45,13.82,2803415
2000-10-24,13.99,14.0,13.63,13.71,1762620
2000-10-25,14.08,14.46,13.83,14.34,2702650
2000-10-26,14.5,14.6,14.2,14.52,650575
2000-10-27,14.59,14.59,14.3,14.38,720695
2000-10-30,14.4,14.46,14.1,14.14,591315
2000-10-31,14.01,14.15,13.96,14.03,1222915
2000-11-01,14.39,14.96,13.92,14.77,3158105
2000-11-02,14.94,15.7,14.9,15.47,4347450
2000-11-03,15.59,17.56,15.2,17.3,11110845
2000-11-06,17.35,18.33,16.7,17.77,11474675
2000-11-07,17.41,17.9,17.12,17.48,4266550
2000-11-08,17.79,17.98,17.12,17.21,2797155
2000-11-09,17.01,17.01,16.09,16.6,2190315
2000-11-10,16.6,17.1,15.72,15.83,7168400
2000-11-13,15.65,15.65,14.61,15.02,2741645
2000-11-14,15.09,15.8,15.08,15.5,3784705
2000-11-15,15.8,16.3,15.6,15.68,5025930
2000-11-16,15.76,16.3,15.61,15.71,3121445
2000-11-17,15.62,15.81,15.36,15.49,2687505
2000-11-20,15.4,16.96,15.27,16.57,11328485
2000-11-21,16.4,17.28,16.22,16.67,6332335
2000-11-22,17.06,17.06,16.1,16.21,2652575
2000-11-23,16.06,17.04,15.85,16.72,4905555
2000-11-24,16.8,17.73,16.8,17.54,11368045
2000-11-27,17.8,18.1,17.42,17.91,7285660
2000-11-28,17.82,18.8,17.82,18.41,8957275
2000-11-29,18.58,18.71,16.95,17.45,13364255
2000-11-30,17.55,18.08,17.2,17.58,6580835
2000-12-01,17.5,17.76,17.14,17.26,5159920
2000-12-04,17.58,18.3,17.45,17.74,9043825
2000-12-05,18.1,18.56,17.98,18.1,7812455
2000-12-06,18.69,18.89,18.08,18.33,11778325
2000-12-07,18.12,19.5,18.12,19.42,27699525
2000-12-08,19.54,20.45,19.54,19.93,26952870
2000-12-11,20.16,20.36,19.85,20.0,11514450
2000-12-12,20.0,20.18,19.04,19.5,12442850
2000-12-13,19.6,19.84,19.4,19.66,4916640
2000-12-14,19.77,20.48,19.3,19.43,15268745
2000-12-15,19.3,19.39,18.02,18.26,9657850
2000-12-18,17.6,18.9,17.6,18.76,7767575
2000-12-19,18.96,19.26,18.62,18.68,10562435
2000-12-20,18.7,18.78,18.32,18.56,5355275
2000-12-21,18.2,19.0,17.76,18.52,9371495
2000-12-22,18.59,18.75,17.22,17.4,7830085
2000-12-26,17.4,17.75,16.6,16.7,6760790
2000-12-27,16.7,17.16,16.6,16.96,2756385
2000-12-28,17.1,17.51,17.07,17.37,3187140
2000-12-29,17.4,17.69,17.3,17.62,5571810
2001-01-01,17.69,18.13,17.41,17.81,5566150
2001-01-02,17.8,18.8,17.79,18.75,10032030
2001-01-03,18.8,20.7,18.8,20.33,34581155
2001-01-04,20.39,21.56,19.6,21.05,39350210
2001-01-05,21.2,21.45,20.51,20.71,29496725
2001-01-08,20.6,20.98,19.81,20.25,12162410
